results for random string testing
Iteration 1: c = ], s = eut, state = 0
Iteration 2: c = }, s = r, state = 0
Iteration 3: c =  , s = , state = 0
Iteration 4: c =  , s = sstuets, state = 0
Iteration 5: c = (, s = e, state = 0
Iteration 6: c = }, s = stttets, state = 0
Iteration 7: c = [, s = e, state = 0
Iteration 8: c =  , s = reue, state = 1
Iteration 9: c = x, s = rest, state = 1
Iteration 10: c = r, s = rtru, state = 1
Iteration 11: c = l, s = ru, state = 1
Iteration 12: c = /, s = te, state = 1
Iteration 13: c = [, s = sest, state = 1
Iteration 14: c = }, s = u, state = 1
Iteration 15: c = a, s = e, state = 1
Iteration 16: c = r, s = trrueue, state = 1
Iteration 17: c = [, s = , state = 1
Iteration 18: c =  , s = r, state = 1
Iteration 19: c = r, s = uuuusue, state = 1
Iteration 20: c = (, s = eteusue, state = 1
Iteration 21: c = [, s = rssusue, state = 2
Iteration 22: c = ], s = t, state = 2
Iteration 23: c =  , s = esu, state = 2
Iteration 24: c = ), s = , state = 2
Iteration 25: c = [, s = tretseu, state = 2
Iteration 26: c = ), s = srerstu, state = 2
Iteration 27: c = x, s = ururstu, state = 2
Iteration 28: c = l, s = eest, state = 2
Iteration 29: c = }, s = r, state = 2
Iteration 30: c = }, s = uuuse, state = 2
Iteration 31: c = ], s = eest, state = 2
Iteration 32: c = (, s = eeuse, state = 2
Iteration 33: c =  , s = test, state = 2
Iteration 34: c = /, s = t, state = 2
Iteration 35: c = a, s = u, state = 2
Iteration 36: c = r, s = , state = 2
Iteration 37: c = [, s = , state = 2
Iteration 38: c = (, s = , state = 2
Iteration 39: c = a, s = uuret, state = 2
Iteration 40: c = a, s = , state = 2
Iteration 41: c = 4, s = test, state = 2
Iteration 42: c = }, s = e, state = 2
Iteration 43: c =  , s = , state = 2
Iteration 44: c = ], s = uest, state = 2
Iteration 45: c = /, s = s, state = 2
Iteration 46: c = ), s = , state = 2
Iteration 47: c = a, s = ssrerrt, state = 2
Iteration 48: c = a, s = ttrsert, state = 2
Iteration 49: c = r, s = rersert, state = 2
Iteration 50: c = l, s = test, state = 2
Iteration 51: c = }, s = utuuert, state = 2
Iteration 52: c = }, s = teuuert, state = 2
Iteration 53: c = /, s = etru, state = 2
Iteration 54: c = x, s = uest, state = 2
Iteration 55: c = a, s = , state = 2
Iteration 56: c = r, s = sest, state = 2
Iteration 57: c = ), s = ttttrr, state = 2
Iteration 58: c = [, s = r, state = 2
Iteration 59: c = r, s = urstr, state = 2
Iteration 60: c = a, s = seetut, state = 2
Iteration 61: c = a, s = urtset, state = 2
Iteration 62: c = [, s = , state = 2
Iteration 63: c = ), s = seturr, state = 2
Iteration 64: c = /, s = tusurr, state = 2
Iteration 65: c = /, s = tusurr, state = 2
Iteration 66: c = [, s = eesurr, state = 2
Iteration 67: c = }, s = eest, state = 2
Iteration 68: c = [, s = srsurr, state = 2
Iteration 69: c = [, s = , state = 2
Iteration 70: c = ), s = uest, state = 2
Iteration 71: c = r, s = , state = 2
Iteration 72: c = }, s = , state = 2
Iteration 73: c = r, s = su, state = 2
Iteration 74: c = 4, s = errtete, state = 2
Iteration 75: c = }, s = rest, state = 2
Iteration 76: c = {, s = t, state = 2
Iteration 77: c = [, s = truts, state = 3
Iteration 78: c = (, s = usrrr, state = 3
Iteration 79: c = {, s = esssrs, state = 3
Iteration 80: c = [, s = stuees, state = 3
Iteration 81: c = r, s = etuees, state = 3
Iteration 82: c = [, s = ute, state = 3
Iteration 83: c =  , s = st, state = 3
Iteration 84: c = ), s = ter, state = 4
Iteration 85: c = (, s = , state = 4
Iteration 86: c = r, s = true, state = 4
Iteration 87: c = 4, s = uest, state = 4
Iteration 88: c = ), s = ssue, state = 4
Iteration 89: c = {, s = etue, state = 4
Iteration 90: c = l, s = trrt, state = 4
Iteration 91: c =  , s = stut, state = 4
Iteration 92: c = /, s = ttue, state = 4
Iteration 93: c = l, s = , state = 4
Iteration 94: c = (, s = , state = 4
Iteration 95: c = r, s = uusueue, state = 4
Iteration 96: c = }, s = uuts, state = 4
Iteration 97: c = 4, s = tsut, state = 4
Iteration 98: c = {, s = , state = 4
Iteration 99: c =  , s = e, state = 4
Iteration 100: c =  , s = test, state = 4
Iteration 101: c = /, s = s, state = 4
Iteration 102: c = }, s = ru, state = 4
Iteration 103: c = [, s = ruueers, state = 4
Iteration 104: c =  , s = t, state = 4
Iteration 105: c = }, s = , state = 4
Iteration 106: c = a, s = trreers, state = 4
Iteration 107: c = ), s = uereers, state = 5
Iteration 108: c = r, s = etuusrs, state = 5
Iteration 109: c =  , s = serusrs, state = 5
Iteration 110: c = ), s = surtsrs, state = 5
Iteration 111: c = (, s = ursrurs, state = 5
Iteration 112: c = [, s = ruresrs, state = 5
Iteration 113: c = a, s = suusrrs, state = 5
Iteration 114: c = /, s = uuusrrs, state = 5
Iteration 115: c = 4, s = r, state = 5
Iteration 116: c = /, s = eest, state = 5
Iteration 117: c = l, s = ttttess, state = 5
Iteration 118: c = l, s = stsress, state = 5
Iteration 119: c = ), s = ruttess, state = 5
Iteration 120: c = /, s = trsttss, state = 5
Iteration 121: c = ], s = , state = 5
Iteration 122: c = ], s = t, state = 5
Iteration 123: c = ], s = trerrus, state = 5
Iteration 124: c = l, s = , state = 5
Iteration 125: c = [, s = eserrus, state = 5
Iteration 126: c = ], s = rste, state = 5
Iteration 127: c = {, s = sssrues, state = 5
Iteration 128: c = }, s = srrsues, state = 5
Iteration 129: c = {, s = , state = 5
Iteration 130: c = (, s = stuuues, state = 5
Iteration 131: c = [, s = usutues, state = 5
Iteration 132: c = [, s = etutues, state = 5
Iteration 133: c = r, s = sest, state = 5
Iteration 134: c = x, s = eest, state = 5
Iteration 135: c = {, s = utttues, state = 6
Iteration 136: c = l, s = sest, state = 6
Iteration 137: c = ], s = uest, state = 6
Iteration 138: c = a, s = t, state = 6
Iteration 139: c = ), s = u, state = 6
Iteration 140: c = l, s = usertes, state = 6
Iteration 141: c = ), s = rest, state = 6
Iteration 142: c = l, s = rrtrtes, state = 6
Iteration 143: c = /, s = tuse, state = 6
Iteration 144: c = (, s = rest, state = 6
Iteration 145: c = ), s = , state = 6
Iteration 146: c = }, s = ertt, state = 6
Iteration 147: c = [, s = , state = 7
Iteration 148: c = l, s = , state = 7
Iteration 149: c = [, s = , state = 7
Iteration 150: c = }, s = us, state = 7
Iteration 151: c = /, s = test, state = 7
Iteration 152: c = [, s = uuseter, state = 7
Iteration 153: c =  , s = , state = 7
Iteration 154: c = ), s = ter, state = 7
Iteration 155: c = x, s = te, state = 8
Iteration 156: c = ), s = r, state = 8
Iteration 157: c = {, s = tsusr, state = 8
Iteration 158: c = l, s = uresr, state = 8
Iteration 159: c = }, s = uest, state = 8
Iteration 160: c = 4, s = , state = 8
Iteration 161: c = /, s = e, state = 8
Iteration 162: c = a, s = test, state = 8
Iteration 163: c = {, s = , state = 8
Iteration 164: c = (, s = test, state = 8
Iteration 165: c = }, s = e, state = 8
Iteration 166: c = r, s = turrrsr, state = 8
Iteration 167: c = a, s = , state = 8
Iteration 168: c = x, s = , state = 8
Iteration 169: c = ), s = essrrur, state = 8
Iteration 170: c = a, s = reers, state = 8
Iteration 171: c = (, s = eest, state = 8
Iteration 172: c = {, s = ssrrest, state = 8
Iteration 173: c = r, s = re, state = 8
Iteration 174: c = r, s = errsu, state = 8
Iteration 175: c = (, s = r, state = 8
Iteration 176: c = /, s = resru, state = 8
Iteration 177: c = ), s = sest, state = 8
Iteration 178: c = a, s = r, state = 8
Iteration 179: c = [, s = , state = 8
Iteration 180: c = ), s = sutuets, state = 8
Iteration 181: c = r, s = rreeetu, state = 8
Iteration 182: c = x, s = rest, state = 8
Iteration 183: c = 4, s = ru, state = 8
Iteration 184: c = ], s = r, state = 8
Iteration 185: c = {, s = su, state = 9
Iteration 186: c = }, s = , state = 9
Iteration 187: c = a, s = rusuest, state = 9
Iteration 188: c = ], s = tesuest, state = 9
Iteration 189: c = {, s = uterr, state = 9
